Expenses,Sales revenue,Cost of goods sold,Quality sold,Discounts,Avg selling prize,Return on investment,Product,Customer,sales channel,Sales person,Currency,Location,
41207,13072,6314,7,20,5387,2565,Granite,Paquito,whole sales,Paquito Tesyro,Peso,Philippines,
52799,85369,2288,52,40,5928,6568,Plastic,Vasily,online,Vasily Siggers,Euro,France,
13186,27839,3532,30,37,3505,6876,Stone,Hazel,retile,Hazel Stocker,Yuan Renminbi,China,
13077,53135,8040,29,74,3382,9426,Rubber,Bobby,whole sales,Bobby Shotton,Yuan Renminbi,China,
43572,55746,9687,60,88,4029,4374,Glass,Clemmy,online,Clemmy Keld,Rupiah,Indonesia,
33839,25364,6860,92,62,5480,8735,Stone,Binnie,retile,Binnie Haire,Yuan Renminbi,China,
12043,75145,2286,13,13,5488,9059,Rubber,Pyotr,whole sales,Pyotr MacUchadair,Ruble,Russia,
38156,11090,3333,67,11,3435,8304,Wood,Rosanne,online,Rosanne Rainsbury,Rupee,Pakistan,
16643,94791,6271,13,84,4432,8308,Aluminum,Maurizia,retile,Maurizia Nudd,Peso,Philippines,
25020,89585,5892,11,3,3080,8025,Plastic,Sasha,whole sales,Sasha Stowers,Real,Brazil,
98089,10996,5479,3,31,3635,1660,Vinyl,Lilllie,online,Lilllie Saer,Ruble,Russia,
11792,43478,5450,24,100,3232,1174,Granite,Lavinia,retile,Lavinia Agglione,Yuan Renminbi,China,
46811,99988,7067,97,73,4874,1758,Steel,Rosa,whole sales,Rosa Banfield,Shilling,Tanzania,
94349,72125,7055,82,81,5698,5957,Wood,Tommy,online,Tommy Entwhistle,Euro,France,
34023,65883,4001,91,49,5381,6404,Vinyl,Conrado,retile,Conrado Mayo,Euro,Greece,
78052,99228,3418,41,3,3953,6952,Granite,Kyle,whole sales,Kyle Cinnamond,Euro,France,
11810,56349,7294,69,16,5409,4062,Aluminum,Zebadiah,online,Zebadiah Jeary,Ruble,Russia,
30961,17374,4673,12,8,3504,4297,Granite,Caldwell,retile,Caldwell Bawcock,Rial,Iran,
20068,54246,9594,52,88,3493,7047,Steel,Taffy,whole sales,Taffy Schwartz,Naira,Nigeria,
57402,49567,7630,83,31,3684,5693,Plastic,Vale,online,Vale Udey,Yuan Renminbi,China,
62743,53657,3523,28,77,4272,7722,Rubber,Ethan,retile,Ethan Lilloe,Rupiah,Indonesia,
99060,39808,2363,8,27,4069,7503,Aluminum,Vaughan,whole sales,Vaughan MacIlory,Lek,Albania,
13427,75171,7452,29,37,4127,6478,Stone,Daryl,online,Daryl Todeo,Yuan Renminbi,China,
43646,55645,9467,93,47,3157,4105,Plexiglass,Lianne,retile,Lianne Tagg,Ruble,Russia,
80983,98026,3436,27,57,4749,5983,Plexiglass,Cher,whole sales,Cher Solomon,Peso,Philippines,
89708,88244,5090,22,23,3941,5392,Brass,Worth,online,Worth Deroche,Yuan Renminbi,China,
86521,26520,8786,68,40,3564,9383,Aluminum,Alene,retile,Alene Smaridge,Real,Brazil,
41815,49829,4774,32,55,5029,9467,Rubber,Netty,whole sales,Netty Fitch,Yuan Renminbi,China,
92291,58708,9900,65,51,3807,3252,Vinyl,Mufi,online,Mufi De Stoop,Peso,Philippines,
24302,15346,4616,45,55,3933,5293,Wood,Erhart,retile,Erhart McGeaney,Baht,Thailand,
46061,74432,6233,12,90,4598,3412,Wood,Sari,whole sales,Sari Sharple,Peso,Philippines,
72113,73721,6094,13,8,3942,8168,Vinyl,Mikkel,online,Mikkel Shergold,Euro,Ireland,
89842,17761,1874,88,60,4485,8358,Plexiglass,Paula,retile,Paula Gerhold,Yuan Renminbi,China,
77908,99010,5954,37,8,3564,1200,Glass,Anjanette,whole sales,Anjanette Darbyshire,Koruna,Czech Republic,
75703,49984,4148,20,20,3748,1639,Plastic,Xaviera,online,Xaviera Butten,Rupiah,Indonesia,
98239,78551,6201,61,52,5567,1530,Granite,Tailor,retile,Tailor Zellick,Euro,Finland,
76088,34678,1241,60,50,5090,2901,Wood,Lotty,whole sales,Lotty Tinkham,Zloty,Poland,
54699,17947,9427,7,21,3152,3866,Stone,Helyn,online,Helyn Segeswoeth,Peso,Colombia,
97382,54107,8736,71,86,3440,9262,Rubber,Sherwin,retile,Sherwin Dudny,Dollar,United States,
87274,52383,4529,23,84,5782,2338,Granite,Jenda,whole sales,Jenda Circuit,Bolivar,Venezuela,
25947,95247,8428,58,68,3434,3108,Aluminum,Colan,online,Colan Donet,Peso,Philippines,
69137,76979,8950,18,60,5534,9037,Vinyl,Bridie,retile,Bridie Harlock,Rupiah,Indonesia,
14949,78311,9003,48,33,4686,2178,Rubber,Kati,whole sales,Kati Ranson,Quetzal,Guatemala,
99225,54143,7386,46,73,3520,6851,Aluminum,Amargo,online,Amargo Ketteman,Shekel,Israel,
91491,38170,7452,44,41,3628,2494,Steel,Collete,retile,Collete Euels,Lek,Albania,
75944,97452,3018,23,8,5863,8312,Vinyl,Cos,whole sales,Cos Leat,Yuan Renminbi,China,
28993,53420,9009,26,94,5871,9114,Vinyl,Way,online,Way Georgius,Baht,Thailand,
15963,75879,5843,34,79,3993,4816,Rubber,Alyss,retile,Alyss Scurman,Yuan Renminbi,China,
76679,95725,5623,9,55,3304,3792,Rubber,Wat,whole sales,Wat Echallier,Dong,Vietnam,
90061,77297,9034,40,91,4290,8552,Wood,Jackqueline,online,Jackqueline Koenraad,Euro,Germany,
65722,16162,1678,7,92,5701,4830,Granite,Berny,retile,Berny Haffard,Yuan Renminbi,China,
43819,97883,6894,45,73,5756,1255,Glass,Court,whole sales,Court Melmoth,Dollar,Canada,
19692,99345,8702,61,81,5504,3542,Plastic,Julius,online,Julius Gricks,Quetzal,Guatemala,
32206,23515,8445,90,53,3775,6675,Plexiglass,Win,retile,Win Emsley,Yuan Renminbi,China,
75187,90725,2042,92,36,5246,3260,Plastic,Charissa,whole sales,Charissa Benet,Dollar,Canada,
27371,57287,7822,5,56,4775,9863,Rubber,Hussein,online,Hussein Farney,Peso,Philippines,
94774,18327,6451,62,94,3310,8997,Rubber,Phelia,retile,Phelia Palluschek,Euro,Portugal,
57756,71637,1413,39,4,5621,4716,Rubber,Gavan,whole sales,Gavan MacCrachen,Zloty,Poland,
10032,49127,5052,7,2,3056,4693,Stone,Garek,online,Garek Snookes,Yuan Renminbi,China,
89467,29193,6614,18,23,5351,5522,Rubber,Wendell,retile,Wendell Pulbrook,Yuan Renminbi,China,
99254,39486,6137,32,73,3869,1645,Glass,Dorris,whole sales,Dorris Gasticke,Yuan Renminbi,China,
22709,24528,1369,81,14,5699,3916,Rubber,Noah,online,Noah Beagin,Peso,Philippines,
82042,55324,6639,14,80,3445,3996,Plexiglass,Hubert,retile,Hubert Croke,Peso,Philippines,
30715,83036,6529,30,13,3536,4093,Wood,Moll,whole sales,Moll Limpricht,Yuan Renminbi,China,
68905,98146,4676,72,43,4687,5765,Plastic,Karlie,online,Karlie Balfour,Tugrik,Mongolia,
55700,56711,7254,85,12,3360,3752,Plastic,Briny,retile,Briny Twidle,Rupiah,Indonesia,
29303,93173,5774,15,25,4399,6329,Brass,Ferrel,whole sales,Ferrel Normavell,Euro,Greece,
34154,54048,6650,98,92,3363,9110,Steel,Nicky,online,Nicky Hendrikse,Yuan Renminbi,China,
42447,15580,6150,24,30,3404,5585,Plastic,Jayme,retile,Jayme Paulucci,Euro,Finland,
52582,56016,9231,55,17,4921,2000,Brass,Barron,whole sales,Barron Ivanaev,Som,Uzbekistan,
13049,34583,8260,47,21,4193,4818,Plexiglass,Vevay,online,Vevay Finley,Euro,Portugal,
72488,39031,4915,79,94,4454,7569,Plastic,Cody,retile,Cody Kersey,Real,Brazil,
37975,91834,9330,78,2,5331,7892,Glass,Christoper,whole sales,Christoper Pancoast,Sol,Peru,
42644,32329,2257,50,71,3761,7447,Plexiglass,Lidia,online,Lidia McSkeagan,Rupiah,Indonesia,
43762,97556,1361,13,5,4841,8134,Glass,Sissy,retile,Sissy Worrill,Peso,Philippines,
58944,93856,2818,11,71,3932,4028,Granite,Base,whole sales,Base Loren,Peso,Uruguay,
64132,60748,3526,37,77,4481,3096,Granite,Kristien,online,Kristien Fleury,Yuan Renminbi,China,
17176,70110,1057,79,7,5808,7844,Stone,Nessa,retile,Nessa Ethington,Dollar,United States,
96010,38566,7930,92,8,5944,9372,Plexiglass,Manny,whole sales,Manny Walters,Yuan Renminbi,China,
17724,51279,5230,31,24,4033,4040,Brass,Darell,online,Darell Blyth,Yen,Japan,
29019,24822,6808,77,100,3310,3141,Steel,Raquel,retile,Raquel Niemetz,Peso,Colombia,
67632,43112,7274,16,6,3305,3468,Aluminum,Reynold,whole sales,Reynold Cooksey,Euro,Italy,
14019,60988,9734,72,27,4365,1516,Wood,Shell,online,Shell Rutgers,Rupiah,Indonesia,
84405,22142,8656,49,31,4263,9796,Aluminum,Towney,retile,Towney Hiley,Hryvnia,Ukraine,
11400,15585,4731,27,74,5523,7996,Rubber,Mordecai,whole sales,Mordecai Lipyeat,Dollar,Namibia,
38761,86658,2612,33,44,3481,8678,Rubber,Nikolaos,online,Nikolaos Westcott,Yuan Renminbi,China,
19097,37529,2414,96,100,3847,2388,Aluminum,Jammie,retile,Jammie Schapero,Yuan Renminbi,China,
98960,11382,1122,51,31,5216,4567,Rubber,Hermon,whole sales,Hermon Jakobsson,Ruble,Russia,
53150,76485,9386,72,22,4052,1966,Glass,Hallsy,online,Hallsy Leneve,Pound,Syria,
37826,22901,3292,80,56,4494,8768,Stone,Hobey,retile,Hobey Sterman,Koruna,Czech Republic,
73999,68757,5496,98,28,4845,8479,Granite,Alford,whole sales,Alford Falvey,Yuan Renminbi,China,
21312,11218,7795,89,17,4305,2592,Brass,Abramo,online,Abramo Costerd,Zloty,Poland,
48362,47873,3701,19,66,5000,7978,Granite,Wain,retile,Wain Marquiss,Dollar,East Timor,
11455,98276,7991,20,32,3590,7386,Stone,Cherianne,whole sales,Cherianne Lembke,Rupiah,Indonesia,
71081,94830,9302,60,22,3997,6851,Glass,Josy,online,Josy Tween,Shilling,Kenya,
24673,70872,5377,17,74,5162,5555,Brass,Dodie,retile,Dodie Sante,Franc,French Polynesia,
25156,30348,2751,51,82,3389,8541,Stone,Hettie,whole sales,Hettie McGruar,Euro,France,
41879,85016,9189,4,84,3240,2071,Stone,Ximenez,online,Ximenez Allon,Shilling,Tanzania,
49146,34444,4783,51,28,4851,9445,Wood,Tess,retile,Tess Gardiner,Sol,Peru,
70617,31106,7668,32,28,5166,8727,Glass,Raine,whole sales,Raine Ciccottio,Krona,Sweden,
29547,53380,5913,29,9,4839,9671,Wood,Bella,online,Bella McTeague,Yuan Renminbi,China,
11113,97734,7426,25,57,3402,2584,Wood,Merralee,retile,Merralee D'Adamo,Dollar,Canada,
20243,82415,5687,100,82,4039,6386,Stone,Daniela,whole sales,Daniela Weighell,Dollar,United States,
38785,65627,4954,39,24,4318,9277,Brass,Ivan,online,Ivan Drinkeld,Yuan Renminbi,China,
40962,75775,5300,54,90,3918,1044,Plastic,Jorgan,retile,Jorgan Oxx,Ruble,Russia,
17685,61973,9461,13,46,4940,8173,Brass,Jodi,whole sales,Jodi Cromer,Dollar,United States,
85211,96830,6767,11,72,3283,9535,Brass,Gerta,online,Gerta Loft,Yuan Renminbi,China,
72985,27942,7469,14,54,3380,8140,Granite,Claribel,retile,Claribel Tomasino,Yuan Renminbi,China,
47132,62980,2281,67,44,3063,3298,Glass,Gerik,whole sales,Gerik Stanlike,Rupee,Sri Lanka,
96509,81658,3188,92,22,3883,6650,Vinyl,Palmer,online,Palmer Geekin,Euro,Finland,
61647,14887,2149,57,47,4296,3648,Granite,Annalise,retile,Annalise Fenner,Koruna,Czech Republic,
33356,96618,8803,2,62,4129,1630,Brass,Kristal,whole sales,Kristal Barbisch,Real,Brazil,
76777,60769,3750,80,61,5512,4692,Stone,Legra,online,Legra Scarf,Rupiah,Indonesia,
92905,49741,9086,62,78,4854,9808,Plastic,Noell,retile,Noell Goscomb,Koruna,Czech Republic,
52149,31950,8271,24,18,5246,5015,Glass,Sandye,whole sales,Sandye Wanne,Hryvnia,Ukraine,
85708,95728,1205,55,98,3102,6820,Stone,Gregoire,online,Gregoire June,Cordoba,Nicaragua,
93659,60793,8332,92,65,5012,9803,Stone,Grover,retile,Grover Pimer,Yuan Renminbi,China,
21608,36547,2371,37,96,4519,7206,Steel,Stern,whole sales,Stern Hazeldene,Koruna,Czech Republic,
56948,51342,5246,86,80,4129,9047,Brass,Natala,online,Natala Passmore,Dong,Vietnam,
76438,64469,6583,91,39,5125,4758,Steel,Yovonnda,retile,Yovonnda Scanderet,Rupiah,Indonesia,
55080,25125,7395,97,37,3968,1597,Brass,Grayce,whole sales,Grayce Caplis,Peso,Mexico,
26073,20669,2138,15,28,5829,7595,Glass,Arturo,online,Arturo Crocetti,Pound,Sudan,
58202,79544,1950,9,48,4080,9709,Vinyl,Thane,retile,Thane Errowe,Dollar,United States,
37031,99117,8319,58,72,4932,6838,Brass,Cacilie,whole sales,Cacilie Plomer,Euro,Greece,
36100,47840,8570,5,55,5643,1611,Wood,Humphrey,online,Humphrey Merioth,Hryvnia,Ukraine,
32776,54289,1491,5,47,5582,6402,Aluminum,Ophelia,retile,Ophelia Geraldi,Rupiah,Indonesia,
59455,77258,4005,1,23,4210,2308,Plexiglass,Des,whole sales,Des Knobell,Yuan Renminbi,China,
42478,53744,2238,18,36,5112,8861,Plexiglass,Edwina,online,Edwina Settle,Yuan Renminbi,China,
65250,21115,2765,59,8,3594,8775,Vinyl,Arabella,retile,Arabella Nunnery,Yuan Renminbi,China,
32240,81848,6054,67,70,5227,8571,Stone,Sydney,whole sales,Sydney Raleston,Peso,Philippines,
78697,75677,3122,73,9,5162,7457,Glass,Myrta,online,Myrta Perrat,Real,Brazil,
16787,83725,5783,65,78,4812,4251,Steel,Rowan,retile,Rowan Laterza,Yuan Renminbi,China,
74019,24759,8786,59,12,4726,3657,Aluminum,Benjamen,whole sales,Benjamen Youhill,Yen,Japan,
93975,26922,4450,97,58,3005,5210,Steel,Rayna,online,Rayna Bootland,Denar,Macedonia,
74208,87666,2148,62,61,5758,8817,Glass,Meghan,retile,Meghan Hudson,Ruble,Russia,
44423,67659,2125,64,25,3533,1730,Brass,Kitti,whole sales,Kitti Bortoletti,Dollar,Brunei,
98569,34331,5289,70,34,3672,2452,Plastic,Debby,online,Debby Fright,Ruble,Russia,
67544,84744,6560,80,74,3973,6197,Glass,Leonard,retile,Leonard Belton,Real,Brazil,
61228,80456,9089,48,39,4998,7016,Vinyl,Olivette,whole sales,Olivette Itzkowicz,Yuan Renminbi,China,
23622,81111,1911,80,97,3333,6972,Stone,Sena,online,Sena Prewett,Yuan Renminbi,China,
10244,50632,7040,53,48,4331,5423,Steel,Rickard,retile,Rickard Birdall,Dinar,Serbia,
67503,97856,8823,68,1,4543,1668,Granite,Omar,whole sales,Omar O' Meara,Euro,France,
47912,79472,4159,96,17,3945,2434,Glass,Godard,online,Godard Sanney,Yuan Renminbi,China,
91700,47472,4948,97,16,3752,4542,Vinyl,Donnamarie,retile,Donnamarie Fowles,Rupiah,Indonesia,
11434,33686,7770,73,17,4826,7579,Stone,Arlyne,whole sales,Arlyne Avery,Yuan Renminbi,China,
17015,37277,7021,11,37,4305,9212,Brass,Mag,online,Mag Drogan,Pound,Egypt,
73744,21381,8794,53,52,5145,6976,Steel,Randal,retile,Randal Longmead,Rial,Iran,
44762,76568,5717,94,77,4378,5659,Brass,Brittani,whole sales,Brittani Mayworth,Quetzal,Guatemala,
29514,44133,4049,25,62,3459,2803,Plexiglass,Beauregard,online,Beauregard Stockau,Dinar,Tunisia,
80840,51082,4354,51,57,3470,7252,Rubber,Harmonia,retile,Harmonia Goodlad,Yuan Renminbi,China,
19447,93347,5698,7,19,4545,4424,Glass,Wilfred,whole sales,Wilfred Ilyushkin,Rupiah,Indonesia,
31430,79704,5251,93,81,4072,3810,Glass,Adelaida,online,Adelaida Meadows,Euro,Portugal,
49961,54514,7595,64,3,3498,5118,Brass,Valera,retile,Valera Crowne,Euro,Greece,
68955,15853,3105,38,62,4582,6139,Plastic,Valida,whole sales,Valida Tranfield,Baht,Thailand,
23886,81683,4709,86,76,5694,6194,Plexiglass,Brittan,online,Brittan Jantet,Rupiah,Indonesia,
94868,58594,5083,41,85,4573,2669,Glass,Silvain,retile,Silvain Chaudron,Yuan Renminbi,China,
13562,50650,9965,72,42,4668,9847,Glass,Danell,whole sales,Danell Burgwin,Peso,Philippines,
84948,61545,3741,2,69,3533,9316,Steel,Violante,online,Violante Kinsett,Sol,Peru,
11450,18444,5150,39,71,5146,3708,Steel,Alexei,retile,Alexei Treanor,Yuan Renminbi,China,
68571,92745,8904,5,22,4900,8930,Stone,Swen,whole sales,Swen Davidesco,Peso,Philippines,
81243,33141,3595,79,39,3227,2423,Plexiglass,Masha,online,Masha Order,Euro,Portugal,
69857,31854,7961,45,37,4693,1013,Brass,Opaline,retile,Opaline Langsbury,Yuan Renminbi,China,
76298,99230,4229,97,49,3281,1318,Vinyl,Colas,whole sales,Colas Goode,Euro,Greece,
26310,42870,3752,42,33,5631,3127,Aluminum,Audrey,online,Audrey Garratt,Sol,Peru,
44823,29011,1105,94,85,4392,4292,Granite,Addie,retile,Addie Engeham,Ruble,Russia,
46262,83629,3196,36,36,4444,9946,Plastic,Kennan,whole sales,Kennan Drinkhill,Real,Brazil,
45934,20714,5770,93,83,5790,9676,Stone,Lazar,online,Lazar Lickorish,Pula,Botswana,
25017,84460,6940,1,69,3334,6100,Aluminum,Mylo,retile,Mylo Worg,Guilder,Aruba,
16197,22652,1272,16,76,4103,6721,Glass,Odo,whole sales,Odo Cuddehy,Yen,Japan,
73907,18698,1999,40,89,3756,6622,Rubber,Cecilius,online,Cecilius Farrah,Euro,France,
60174,79630,6282,31,22,4630,8487,Steel,Damiano,retile,Damiano Caps,Yuan Renminbi,China,
94233,63256,8255,58,77,5815,4300,Rubber,Walker,whole sales,Walker Mowett,Yuan Renminbi,China,
12586,58732,8395,27,70,4106,1944,Aluminum,Chane,online,Chane Overall,Ruble,Russia,
40643,20607,4426,71,54,5517,2635,Granite,Sauveur,retile,Sauveur Siddell,Euro,Slovenia,
10975,84867,8788,57,17,4671,6720,Granite,Kanya,whole sales,Kanya Muge,Peso,Philippines,
75090,31487,7870,38,93,3915,2552,Rubber,Valry,online,Valry Bramhall,Yuan Renminbi,China,
18799,32276,1044,2,3,3156,7101,Steel,Jan,retile,Jan Bubear,Peso,Philippines,
58638,19929,9133,3,85,4483,1151,Plastic,Worthy,whole sales,Worthy Jura,Krone,Norway,
98629,69157,9176,82,12,4043,9296,Glass,Darsey,online,Darsey Ladyman,Peso,Philippines,
24032,92162,3482,72,46,4187,9564,Wood,Latashia,retile,Latashia Berrick,Pound,Sudan,
76193,78348,2426,8,13,3592,2905,Stone,Willyt,whole sales,Willyt Rhodus,Peso,Philippines,
62188,62171,6187,2,8,3904,1113,Plexiglass,Lars,online,Lars Scholz,Ringgit,Malaysia,
50778,24423,1248,36,94,4913,7376,Glass,Aubry,retile,Aubry Florentine,Yuan Renminbi,China,
62928,88558,2250,90,54,4557,8849,Plexiglass,Upton,whole sales,Upton Keelinge,Ruble,Russia,
10478,88000,6083,3,37,3726,5311,Steel,Ginger,online,Ginger Provost,Rupiah,Indonesia,
83001,75654,4867,33,95,3476,4621,Steel,Gonzales,retile,Gonzales Kinker,Yen,Japan,
53702,39930,3177,47,26,4019,2097,Wood,Corina,whole sales,Corina Drydale,Krona,Sweden,
26938,69342,7556,70,13,4513,2919,Wood,Nickola,online,Nickola Glisenan,Yuan Renminbi,China,
29228,30781,6943,57,75,4870,1490,Aluminum,Clea,retile,Clea Martyntsev,Ariary,Madagascar,
43186,25973,9297,31,40,5252,8060,Brass,Terrie,whole sales,Terrie Iacovelli,Rupiah,Indonesia,
96426,89028,4308,16,72,5143,2211,Glass,Jesus,online,Jesus O'Cuddie,Ruble,Russia,
96703,87599,9226,77,97,3218,9390,Vinyl,Babara,retile,Babara Brimicombe,Euro,Portugal,
56726,77317,8822,81,99,3851,3624,Wood,Tiebout,whole sales,Tiebout Regina,Rial,Iran,
49961,26853,6364,57,69,3850,3134,Rubber,Mab,online,Mab Hawkins,Ariary,Madagascar,
36485,78660,4251,78,98,5427,6944,Glass,Murdock,retile,Murdock Lydiatt,Rupiah,Indonesia,
45751,38419,1469,28,30,5327,4799,Wood,Cacilie,whole sales,Cacilie Kirsch,Peso,Mexico,
27679,82514,6634,54,82,4910,9725,Steel,Marquita,online,Marquita Pizzey,Rupiah,Indonesia,
46501,66006,4033,14,84,5964,9212,Plastic,Faber,retile,Faber Westwood,Peso,Philippines,
80720,27942,3421,61,11,3594,7046,Granite,Vinny,whole sales,Vinny Pirkis,Euro,Portugal,
92362,53565,9800,21,29,4006,6650,Glass,Troy,online,Troy Robottham,Rupiah,Indonesia,
62926,25132,2580,56,65,4115,7775,Wood,Belita,retile,Belita Messier,Ruble,Russia,
22623,40724,6822,53,48,5315,1458,Rubber,Sandor,whole sales,Sandor McTrustam,Rupiah,Indonesia,
94009,35874,5547,80,31,3745,3664,Steel,Claudell,online,Claudell Whiting,Sol,Peru,
79206,10074,7667,85,90,4792,4890,Rubber,Harriott,retile,Harriott Clackers,Rupiah,Indonesia,
31140,94727,3923,88,98,3553,5440,Plexiglass,Nance,whole sales,Nance Duce,Hryvnia,Ukraine,
90444,68635,3754,58,30,3697,3506,Aluminum,Danita,online,Danita Whatley,Rupiah,Indonesia,
92174,85107,3147,78,37,5347,9284,Wood,Margalit,retile,Margalit McMillan,Zloty,Poland,
73902,16441,9910,27,43,4530,8775,Aluminum,Holly-anne,whole sales,Holly-anne Axtonne,Peso,Philippines,
22144,35917,9562,66,28,4349,8893,Plexiglass,Catha,online,Catha Offin,Ruble,Russia,
56703,57460,3588,87,31,3067,3780,Glass,Avram,retile,Avram Perryn,Rupiah,Indonesia,
18784,49754,6701,41,93,4696,7308,Plastic,Hedy,whole sales,Hedy Swadlinge,Franc,Togo,
32622,77815,1712,32,62,4835,8778,Plexiglass,Scot,online,Scot Ambridge,Hryvnia,Ukraine,
30720,86991,1245,14,61,4144,4585,Wood,Meggi,retile,Meggi Benyan,Yuan Renminbi,China,
58917,36352,5315,78,17,4924,2563,Brass,Dorotea,whole sales,Dorotea Bayston,Lempira,Honduras,
85267,29190,7523,17,31,5263,7130,Rubber,Pammy,online,Pammy Traill,Ruble,Russia,
54572,31257,8438,88,31,4867,2845,Steel,Carmella,retile,Carmella McKoy,Yuan Renminbi,China,
90539,27513,3813,28,87,3754,1290,Glass,Bertrando,whole sales,Bertrando Biddleston,Euro,Netherlands,
98640,72165,3299,37,41,5976,7753,Aluminum,Ruddie,online,Ruddie Matashkin,Dram,Armenia,
66934,58971,5251,36,6,4869,7084,Brass,Marlowe,retile,Marlowe MacDuffie,Peso,Mexico,
84580,78029,9059,35,3,5373,5266,Wood,Vera,whole sales,Vera Iverson,Won,South Korea,
76729,13915,6000,81,73,4469,1543,Stone,Junette,online,Junette Addey,Yuan Renminbi,China,
36944,55799,1813,75,16,4986,6615,Vinyl,Jay,retile,Jay Mulliner,Baht,Thailand,
44708,74196,6132,28,49,5674,4541,Steel,Angelique,whole sales,Angelique Pleaden,Yuan Renminbi,China,
42513,84237,8681,93,17,5651,7511,Wood,Kettie,online,Kettie Garie,Peso,Philippines,
18707,67853,9895,79,14,3363,1474,Glass,Verina,retile,Verina Waterstone,Peso,Philippines,
75598,63524,2690,58,70,4495,5315,Aluminum,Si,whole sales,Si Biaggetti,Yuan Renminbi,China,
99396,17433,5723,53,29,3945,5870,Plexiglass,Damon,online,Damon Wingatt,Ruble,Russia,
62725,47519,3024,88,15,4131,3685,Brass,Spenser,retile,Spenser Ramme,Ariary,Madagascar,
27711,61870,1900,42,78,3826,1457,Plastic,Luisa,whole sales,Luisa Hassur,Franc,Niger,
73516,27566,4958,17,2,3021,1817,Granite,Otto,online,Otto Gian,Rupiah,Indonesia,
67607,29919,1853,16,34,5895,8567,Stone,Elvin,retile,Elvin Parkes,Kyat,Myanmar,
96773,82826,8919,19,20,3432,5173,Steel,Toby,whole sales,Toby Kingsley,Peso,Argentina,
94644,94260,6422,1,53,4787,4252,Steel,Sebastiano,online,Sebastiano Stearn,Yuan Renminbi,China,
57396,92321,7627,8,56,5799,3811,Steel,Nicky,retile,Nicky Traves,Won,South Korea,
81207,68850,3136,14,51,5206,7214,Aluminum,Eloisa,whole sales,Eloisa Jaulmes,Franc,French Polynesia,
55853,13373,7586,41,61,4608,3214,Brass,Barrett,online,Barrett Cantero,Dinar,Tunisia,
93272,98017,1820,16,26,5993,2497,Brass,Reade,retile,Reade Oxford,Dirham,Morocco,
88432,74395,2508,60,6,5036,4957,Steel,Codi,whole sales,Codi Tunder,Hryvnia,Ukraine,
46690,57810,8972,3,64,5323,3304,Plastic,Oswald,online,Oswald Peeke-Vout,Euro,Ireland,
